accession,cluster,split
A0A024R1R8,A0A024R1R8,test
A0A024RBG1,A0A024RBG1,train
A0A075B6H7,A0A087WW87,test
A0A075B6H8,A0A087WW87,test
A0A075B6I4,P12018,test
A0A075B6I6,P12018,test
A0A075B6I7,P12018,test
A0A075B6J2,P12018,test
A0A075B6J6,P12018,test
A0A075B6J9,P12018,test
A0A075B6K0,P12018,test
A0A075B6K2,P12018,test
A0A075B6K5,P12018,test
A0A075B6N1,A0A075B6N3,test
A0A075B6N2,A0A075B6N2,train
A0A075B6N3,A0A075B6N3,test
A0A075B6N4,A0A075B6N3,test
A0A075B6P5,A0A087WW87,test
A0A075B6Q5,P01824,test
A0A075B6R2,P01824,test
A0A075B6R9,A0A087WW87,test
A0A075B6S2,A0A087WW87,test
A0A075B6S5,A0A087WW87,test
A0A075B6S6,A0A087WW87,test
A0A075B6S9,A0A087WW87,test
A0A075B6T6,P0DTU3,train
A0A075B6U4,A0A075B6V5,train
A0A075B6V5,A0A075B6V5,train
A0A075B734,A0A075B734,train
A0A075B759,Q13356,train
A0A075B767,Q13356,train
A0A087WSY4,P01824,test
A0A087WSZ9,A0A087WSZ9,train
A0A087WT02,P0DTU3,train
A0A087WT03,A0A087WT03,train
A0A087WUL8,P0DPF2,train
A0A087WUV0,O43345,val
A0A087WV53,Q5VST9,train
A0A087WVF3,Q92738,train
A0A087WW87,A0A087WW87,test
A0A087WWA1,A0A087WWA1,train
A0A087WXM9,A0A087WXM9,val
A0A087WXS9,Q92738,train
A0A087X0M5,A0A075B6N3,test
A0A087X179,Q92738,train
A0A087X1C5,P08686,test
A0A087X1G2,Q92738,train
A0A096LP01,A0A096LP01,train
A0A096LP49,A0A096LP49,val
A0A096LP55,A0A096LP55,train
A0A096LPI5,Q8N2A0,train
A0A096LPK9,O43869,train
A0A0A0MRZ7,A0A087WW87,test
A0A0A0MS01,P12018,test
A0A0A0MS02,A0A087WW87,test
A0A0A0MS14,P01824,test
A0A0A0MS15,P01824,test
A0A0A0MT36,A0A087WW87,test
A0A0A6YYC5,P0DTU3,train
A0A0A6YYD4,P12018,test
A0A0A6YYG2,A0A075B6N3,test
A0A0A6YYJ7,P0DTU3,train
A0A0A6YYK7,P0DTU3,train
A0A0A6YYL3,A5A3E0,train
A0A0B4J1U4,A0A087WW87,test
A0A0B4J1U7,P01824,test
A0A0B4J1V0,P01824,test
A0A0B4J1V1,P01824,test
A0A0B4J1V2,P01824,test
A0A0B4J1V6,P01824,test
A0A0B4J1V7,P12018,test
A0A0B4J1W7,E5RHQ5,train
A0A0B4J1X5,P01824,test
A0A0B4J1X8,P01824,test
A0A0B4J1Y8,P12018,test
A0A0B4J1Y9,P01824,test
A0A0B4J1Z2,A0A087WW87,test
A0A0B4J234,A0A087WW87,test
A0A0B4J235,P0DTU3,train
A0A0B4J238,A0A087WSZ9,train
A0A0B4J244,P0DTU3,train
A0A0B4J245,P0DTU3,train
A0A0B4J248,A0A087WSZ9,train
A0A0B4J249,A0A075B6V5,train
A0A0B4J264,P0DTU3,train
A0A0B4J265,A0A087WT03,train
A0A0B4J268,A0A087WT03,train
A0A0B4J271,P0DTU3,train
A0A0B4J275,A0A075B6V5,train
A0A0B4J279,P0DTU3,train
A0A0B4J280,P0DTU3,train
A0A0B4J2A2,Q13356,train
A0A0B4J2D9,A0A087WW87,test
A0A0B4J2F0,A0A0B4J2F0,test
A0A0B4J2H0,P01824,test
A0A0C4DGP1,Q96HG1,train
A0A0C4DH24,A0A087WW87,test
A0A0C4DH25,A0A087WW87,test
A0A0C4DH26,A0A087WW87,test
A0A0C4DH27,A0A087WW87,test
A0A0C4DH28,A0A087WW87,test
A0A0C4DH29,P01824,test
A0A0C4DH30,P01824,test
A0A0C4DH31,P01824,test
A0A0C4DH32,P01824,test
A0A0C4DH33,P01824,test
A0A0C4DH34,P01824,test
A0A0C4DH35,P01824,test
A0A0C4DH36,P01824,test
A0A0C4DH38,P01824,test
A0A0C4DH39,P01824,test
A0A0C4DH41,P01824,test
A0A0C4DH42,P01824,test
A0A0C4DH43,P01824,test
A0A0C4DH67,A0A087WW87,test
A0A0C4DH68,A0A087WW87,test
A0A0C4DH72,A0A087WW87,test
A0A0C4DH73,A0A087WW87,test
A0A0G2JMD5,P78395,val
A0A0G2JMI3,P01824,test
A0A0J9YVY3,P01824,test
A0A0J9YWL9,A0A0J9YWL9,train
A0A0J9YX35,P01824,test
A0A0J9YX57,Q12816,train
A0A0J9YX94,A0A0J9YXQ4,train
A0A0J9YXQ4,A0A0J9YXQ4,train
A0A0J9YY54,A0A0J9YWL9,train
A0A0K0K1A5,A0A075B6N3,test
A0A0K0K1D8,A0A075B6N3,test
A0A0K0K1E9,A0A075B6N3,test
A0A0K0K1G8,A0A075B6N3,test
A0A0U1RQE8,A0A0U1RQE8,val
